,Exercise Name,Primary Muscles,Secondary Muscles,Gym Equipment Needed,Movement Mechanics
0,Pull-Up,Latissimus Dorsi,"Biceps Brachii, Rhomboids",Pull-Up Bar,Compound
1,Lat Pulldown,Latissimus Dorsi,"Biceps Brachii, Trapezius",Cable Machine,Compound
2,Dumbbell One-Arm Row,Latissimus Dorsi,"Biceps Brachii, Trapezius","Dumbbell, Flat Bench",Compound
3,Chin-Up,Latissimus Dorsi,"Biceps Brachii, Trapezius",Pull-Up Bar,Compound
4,Bent-Over Barbell Row,Latissimus Dorsi,"Rhomboids, Trapezius",Barbell,Compound
5,Seated Cable Row,Latissimus Dorsi,"Rhomboids, Trapezius",Cable Machine,Compound
6,Chest-Supported Row,Latissimus Dorsi,"Rhomboids, Trapezius",Row Machine / Bench,Compound
7,T-Bar Row,Latissimus Dorsi,"Rhomboids, Trapezius",T-Bar Machine / Barbell,Compound
8,Reverse Fly,Rhomboids,"Posterior Deltoid, Trapezius","Dumbbells, Bench",Isolation
9,Resistance Band Pull-Apart,Rhomboids,"Trapezius, Posterior Deltoid",Resistance Band,Isolation
10,Barbell Shrug,Upper Trapezius,"Middle Trapezius, Levator Scapulae",Barbell,Isolation
11,Cable Shrug,Upper Trapezius,"Middle Trapezius, Levator Scapulae",Cable Machine,Isolation
12,Dumbbell Shrug,Upper Trapezius,"Middle Trapezius, Levator Scapulae",Dumbbells,Isolation
