,Exercise Name,Primary Muscles,Secondary Muscles,Gym Equipment Needed,Movement Mechanics
0,Cable Lying Bicep Curl,Biceps Brachii,Brachialis,"Cable Machine, Floor Mat",Isolation
1,Dumbbell Alternating Curl,Biceps Brachii,"Brachialis, Anterior Delt",Dumbbells,Isolation
2,Barbell Curl,Biceps Brachii,"Brachialis, Brachioradialis",Barbell,Isolation
3,Underhand Supine Row,Biceps Brachii,"Latissimus Dorsi, Trapezius",Horizontal Bar,Compound
4,Drag Curl,Biceps Brachii (Long Head),Brachialis,Barbell / Dumbbells,Isolation
5,Close-Grip Barbell Curl,Biceps Brachii (Long Head),Brachialis,Barbell / EZ Bar,Isolation
6,Behind-the-Body Cable Curl,Biceps Brachii (Long Head),Brachialis,"Cable Machine, D-Handle",Isolation
7,Incline Dumbbell Curl,Biceps Brachii (Long Head),Brachialis,"Dumbbells, Incline Bench",Isolation
8,Cable Preacher Curl,Biceps Brachii (Short Head),Brachialis,"Cable Machine, Bench",Isolation
9,Wide-Grip Cable Curl,Biceps Brachii (Short Head),Brachialis,"Cable Machine, Straight Bar",Isolation
10,Preacher Curl,Biceps Brachii (Short Head),Brachialis,"EZ Bar, Preacher Bench",Isolation
11,Cable Concentration Curl,Brachialis,Biceps Brachii,"Cable Machine, Stirrup",Isolation
12,Concentration Curl,Brachialis,Biceps Brachii,"Dumbbell, Bench",Isolation
13,Prone Incline (Spider) Curl,Brachialis,Biceps Brachii (Short Head),"Barbell, Incline Bench",Isolation
14,Hammer Curl,Brachialis,"Brachioradialis, Biceps",Dumbbells,Isolation
15,Cross Body Hammer Curl,Brachialis,"Brachioradialis, Biceps",Dumbbells,Isolation
16,Pull-Up / Chin-Up,Latissimus Dorsi,"Biceps Brachii, Brachialis",Pull-up Bar,Compound
17,T-Bar Row,Latissimus Dorsi,"Biceps Brachii, Rhomboids",T-Bar Machine / Barbell,Compound
18,Inverted Row,Latissimus Dorsi,"Biceps Brachii, Trapezius","Barbell, Rack / TRX",Compound
19,Dumbbell One-Arm Row,Latissimus Dorsi,"Biceps Brachii, Trapezius","Dumbbell, Flat Bench",Compound
