,Exercise Name,Primary Muscles,Secondary Muscles,Gym Equipment Needed,Movement Mechanics
0,Dumbbell Fly,Pectoralis Major,Anterior Deltoid,"Dumbbells, Flat Bench",Isolation
1,Machine Fly (Pec Deck),Pectoralis Major,Anterior Deltoid,Pec Deck Machine,Isolation
2,Cable Standing Fly,Pectoralis Major,"Anterior Deltoid, Biceps",Cable Machine,Isolation
3,Depth Push-Up,Pectoralis Major,"Anterior Deltoid, Triceps",Plyometric Boxes,Compound
4,Clap Push-Up,Pectoralis Major,"Anterior Deltoid, Triceps",,Compound
5,Single Arm Cable Press,Pectoralis Major,"Serratus Anterior, Triceps",Cable Machine,Compound
6,Machine Chest Press,Pectoralis Major,"Triceps, Anterior Deltoid",Chest Press Machine,Compound
7,Cable Incline Fly,Pectoralis Major (Clavicular),Anterior Deltoid,"Cable Machine, Bench",Isolation
8,Incline Dumbbell Fly,Pectoralis Major (Clavicular),Anterior Deltoid,"Dumbbells, Incline Bench",Isolation
9,Incline Bench Press,Pectoralis Major (Clavicular),"Anterior Deltoid, Triceps","Barbell, Incline Bench",Compound
10,Decline Push-Ups,Pectoralis Major (Clavicular),"Anterior Deltoid, Triceps",Bench / Stability Ball,Compound
11,Incline Dumbbell Press,Pectoralis Major (Clavicular),"Anterior Deltoid, Triceps","Dumbbells, Incline Bench",Compound
12,Pike Push-Up,Pectoralis Major (Clavicular),"Anterior Deltoid, Triceps",,Compound
13,Barbell Bench Press,Pectoralis Major (Sternal),"Anterior Deltoid, Triceps","Barbell, Flat Bench",Compound
14,Dumbbell Bench Press,Pectoralis Major (Sternal),"Anterior Deltoid, Triceps","Dumbbells, Flat Bench",Compound
15,Push-Ups,Pectoralis Major (Sternal),"Anterior Deltoid, Triceps",,Compound
16,Decline Bench Press,Pectoralis Major (Sternal),"Triceps, Anterior Deltoid","Barbell, Decline Bench",Compound
17,Dips,Pectoralis Major (Sternal),"Triceps, Anterior Deltoid",Dip Station,Compound
18,Chest Dip (Weighted),Pectoralis Major (Sternal),"Triceps, Anterior Deltoid","Dip Station, Weight Belt",Compound
19,Decline Dumbbell Press,Pectoralis Major (Sternal),"Triceps, Anterior Deltoid","Dumbbells, Decline Bench",Compound
20,Bench Angel,Pectoralis Major (Stretch),Anterior Deltoid,Flat Bench,Mobility / Stretch
21,Doorway Chest Stretch,Pectoralis Major / Minor,Anterior Deltoid,NA (Doorway),
