,Exercise Name,Primary Muscles,Secondary Muscles,Gym Equipment Needed,Movement Mechanics
0,Farmer's Walk,Core Stabilizers,"Forearms, Trapezius",Heavy Dumbbells / Kettlebells,Compound
1,Bird-Dog,Rectus Abdominis,"Erector Spinae, Glutes",NA (Mat),Isometric/Compound
2,Bench Knee to Chest,Rectus Abdominis,Iliopsoas,Flat Bench,Compound
3,Incline Leg/Hip Raise,Rectus Abdominis,"Iliopsoas, Obliques",Incline Board,Compound
4,Sit-Up,Rectus Abdominis,"Iliopsoas, Obliques",NA (Mat),Compound
5,Weighted Sit-Up,Rectus Abdominis,"Iliopsoas, Obliques",Weight Plate,Compound
6,Hanging Knee Raise,Rectus Abdominis,"Iliopsoas, Pectineus",Pull-up Bar,Compound
7,Suspended Jack-Knife,Rectus Abdominis,"Iliopsoas, Shoulders",Suspension Trainer (TRX),Compound
8,Standing Knee to Chest,Rectus Abdominis,"Iliopsoas, Stabilizers",,Compound
9,Hanging Leg Raise,Rectus Abdominis,"Iliopsoas, Tensor Fasciae Latae","Pull-up Bar, Ab Straps",Compound
10,Ab Rollout,Rectus Abdominis,"Latissimus Dorsi, Triceps",Ab Wheel,Compound
11,Incline Crunch,Rectus Abdominis,Obliques,Decline Bench,Isolation
12,Crunch,Rectus Abdominis,Obliques,NA (Mat),Isolation
13,Weighted Crunch,Rectus Abdominis,Obliques,Weight Plate / Dumbbell,Isolation
14,Suspension Pull-Through,Rectus Abdominis,"Obliques, Iliopsoas",Suspension Trainer (TRX),Compound
15,Stability Ball Crunch,Rectus Abdominis,"Obliques, Transversus",Stability Ball,Isolation
16,Front Plank,Rectus Abdominis,Transversus Abdominis,NA (Mat),Isometric
