,Exercise Name,Primary Muscles,Secondary Muscles,Gym Equipment Needed,Movement Mechanics
0,Barbell Lying Triceps Ext,Triceps (All Heads),,"EZ Bar / Barbell, Bench",Isolation
1,Close-Grip Bench Press,Triceps (Lateral/Medial),"Pectoralis Major, Anterior Delt","Barbell, Flat Bench",Compound
2,Dips,Triceps (Lateral/Medial),"Pectoralis Major, Anterior Delt",Dip Station,Compound
3,Triceps Kickback,Triceps (Lateral/Medial),Posterior Deltoid,"Dumbbell, Bench",Isolation
4,Cable Pushdown (Rope),Triceps (Lateral/Medial),,"Cable Machine, Rope",Isolation
5,Overhead Cable Extension,Triceps (Long Head),,"Cable Machine, Rope/Bar",Isolation
6,Seated Dumbbell Extension,Triceps (Long Head),,"Dumbbell, Bench",Isolation
7,JM Press,Triceps Brachii,"Anterior Deltoid, Pectoralis","Barbell, Flat Bench",Compound
8,Bent-over Cable Extension,Triceps Brachii,Core Stabilizers,Cable Machine,Isolation
9,Assisted Triceps Dip,Triceps Brachii,"Pectoralis Major, Anterior Delt",Assisted Dip Machine,Compound
10,Seated Dip Machine,Triceps Brachii,"Pectoralis Major, Anterior Delt",Dip Machine,Compound
11,Weighted Triceps Dip,Triceps Brachii,"Pectoralis Major, Anterior Delt","Dip Station, Weight Belt",Compound
12,Reverse Bench Pushdown,Triceps Brachii (All Heads),Core Stabilizers,"Cable Machine, Bench",Isolation
13,Single Arm Pushdown,Triceps Brachii (All Heads),,"Cable Machine, D-Handle",Isolation
14,Cable Triceps Pushdown,Triceps Brachii (All Heads),,"Cable Machine, Straight/V-Bar",Isolation
